"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Culpeper County","Kidnapping/Abduction","13"
"Culpeper County","Forcible Rape","2"
"Culpeper County","Forcible Sodomy","1"
"Culpeper County","Sexual Assault With An Object","2"
"Culpeper County","Forcible Fondling","46"
"Culpeper County","Incest",""
"Culpeper County","Statutory Rape",""
"Culpeper County","Aggravated Assault","44"
"Culpeper County","Simple Assault","395"
"Culpeper County","Intimidation","48"
"Culpeper County","Human Trafficking, Commercial Sex Acts",""
"Culpeper County","Human Trafficking, Involuntary Servitude",""
"Fauquier County","Crimes Against Person","655"
"Fauquier County","Murder and Nonnegligent Manslaughter","4"
"Fauquier County","Negligent Manslaughter",""
"Fauquier County","Justifiable Homicide",""
"Fauquier County","Kidnapping/Abduction","12"
"Fauquier County","Forcible Rape","25"
"Fauquier County","Forcible Sodomy","7"
"Fauquier County","Sexual Assault With An Object",""
"Fauquier County","Forcible Fondling","22"
"Fauquier County","Incest","1"
"Fauquier County","Statutory Rape",""
"Fauquier County","Aggravated Assault","30"
"Fauquier County","Simple Assault","491"
"Fauquier County","Intimidation","63"
"Fauquier County","Human Trafficking, Commercial Sex Acts",""
"Fauquier County","Human Trafficking, Involuntary Servitude",""
"Frederick County","Crimes Against Person","1,067"
"Frederick County","Murder and Nonnegligent Manslaughter","2"
"Frederick County","Negligent Manslaughter","1"
"Frederick County","Justifiable Homicide",""
"Frederick County","Kidnapping/Abduction","10"
"Frederick County","Forcible Rape","14"
"Frederick County","Forcible Sodomy","4"
"Frederick County","Sexual Assault With An Object","1"
"Frederick County","Forcible Fondling","85"
"Frederick County","Incest",""
"Frederick County","Statutory Rape","3"
"Frederick County","Aggravated Assault","48"
"Frederick County","Simple Assault","865"
"Frederick County","Intimidation","34"
"Frederick County","Human Trafficking, Commercial Sex Acts",""
"Frederick County","Human Trafficking, Involuntary Servitude",""
"Fredericksburg City","Crimes Against Person","967"
"Fredericksburg City","Murder and Nonnegligent Manslaughter","3"
"Fredericksburg City","Negligent Manslaughter",""
"Fredericksburg City","Justifiable Homicide",""
"Fredericksburg City","Kidnapping/Abduction","9"
"Fredericksburg City","Forcible Rape","9"
"Fredericksburg City","Forcible Sodomy","1"
"Fredericksburg City","Sexual Assault With An Object","1"
"Fredericksburg City","Forcible Fondling","25"
"Fredericksburg City","Incest",""
"Fredericksburg City","Statutory Rape","1"
"Fredericksburg City","Aggravated Assault","126"
"Fredericksburg City","Simple Assault","673"
"Fredericksburg City","Intimidation","119"
"Fredericksburg City","Human Trafficking, Commercial Sex Acts",""
"Fredericksburg City","Human Trafficking, Involuntary Servitude",""
"Harrisonburg City","Crimes Against Person","536"
"Harrisonburg City","Murder and Nonnegligent Manslaughter","2"
"Harrisonburg City","Negligent Manslaughter","1"
"Harrisonburg City","Justifiable Homicide",""
"Harrisonburg City","Kidnapping/Abduction","9"
"Harrisonburg City","Forcible Rape","23"
"Harrisonburg City","Forcible Sodomy","5"
"Harrisonburg City","Sexual Assault With An Object","2"
"Harrisonburg City","Forcible Fondling","12"
"Harrisonburg City","Incest",""
"Harrisonburg City","Statutory Rape","1"
"Harrisonburg City","Aggravated Assault","87"
"Harrisonburg City","Simple Assault","360"
"Harrisonburg City","Intimidation","34"
"Harrisonburg City","Human Trafficking, Commercial Sex Acts",""
"Harrisonburg City","Human Trafficking, Involuntary Servitude",""
"Madison County","Crimes Against Person","114"
"Madison County","Murder and Nonnegligent Manslaughter","1"
"Madison County","Negligent Manslaughter",""
"Madison County","Justifiable Homicide",""
"Madison County","Kidnapping/Abduction","3"
"Madison County","Forcible Rape","5"
"Madison County","Forcible Sodomy","5"
"Madison County","Sexual Assault With An Object","1"
"Madison County","Forcible Fondling","11"
"Madison County","Incest",""
"Madison County","Statutory Rape",""
"Madison County","Aggravated Assault","11"
"Madison County","Simple Assault","64"
"Madison County","Intimidation","13"
"Madison County","Human Trafficking, Commercial Sex Acts",""
"Madison County","Human Trafficking, Involuntary Servitude",""
"Orange County","Crimes Against Person","252"
"Orange County","Murder and Nonnegligent Manslaughter","2"
"Orange County","Negligent Manslaughter","2"
"Orange County","Justifiable Homicide",""
"Orange County","Kidnapping/Abduction","7"
"Orange County","Forcible Rape","10"
"Orange County","Forcible Sodomy","3"
"Orange County","Sexual Assault With An Object","3"
"Orange County","Forcible Fondling","13"
"Orange County","Incest",""
"Orange County","Statutory Rape","2"
"Orange County","Aggravated Assault","37"
"Orange County","Simple Assault","139"
"Orange County","Intimidation","33"
"Orange County","Human Trafficking, Commercial Sex Acts","1"
"Orange County","Human Trafficking, Involuntary Servitude",""
"Page County","Crimes Against Person","140"
"Page County","Murder and Nonnegligent Manslaughter","1"
"Page County","Negligent Manslaughter",""
"Page County","Justifiable Homicide",""
"Page County","Kidnapping/Abduction","4"
"Page County","Forcible Rape","5"
"Page County","Forcible Sodomy","4"
"Page County","Sexual Assault With An Object",""
"Page County","Forcible Fondling","12"
"Page County","Incest",""
"Page County","Statutory Rape",""
"Page County","Aggravated Assault","21"
"Page County","Simple Assault","86"
"Page County","Intimidation","7"
"Page County","Human Trafficking, Commercial Sex Acts",""
"Page County","Human Trafficking, Involuntary Servitude",""
"Rappahannock County","Crimes Against Person","51"
